0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:47 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionMultiple.jsp HTTP/1.1" 200 2343
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:47 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionMatrix.jsp HTTP/1.1" 200 3484
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:47 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionLongText.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:48 +0200] "GET /SurveyTool/%7B%7Bresource.urlPath%7D%7D HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:48 +0200] "GET /SurveyTool/img/checkbox-off.png HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:48 +0200] "GET /SurveyTool/img/radio-off.png HTTP/1.1" 200 820
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:56:48 +0200] "GET /SurveyTool/img/radio-on.png HTTP/1.1" 200 929
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/surveyajs?sid=bsffqfrvf5&langsurvey=en HTTP/1.1" 200 12007
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/css/bootstrap-accessibility.css HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/css/bootstrap.css HTTP/1.1" 200 154226
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/font-awesome/css/font-awesome.min.css HTTP/1.1" 200 27470
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/jquery-ui.js HTTP/1.1" 200 487207
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/jquery-2.1.4.js HTTP/1.1" 200 256807
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/css/controlesReproYoutubeAcc.css HTTP/1.1" 200 3768
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/css/survey.css HTTP/1.1" 200 2471
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/bootstrap-accessibility.min.js HTTP/1.1" 200 15044
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/bootstrap.min.js HTTP/1.1" 200 36822
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/angular/angular.min.js HTTP/1.1" 200 156188
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/angular/angular-sanitize.min.js HTTP/1.1" 200 5901
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/controlesAccesiblesYoutubeIframes.js HTTP/1.1" 200 10654
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/js/angular-ui-router/release/angular-ui-router.min.js HTTP/1.1" 200 32447
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/ng/service/surveyService.js HTTP/1.1" 200 2543
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/ng/controllers/angular-youtube-embed.js HTTP/1.1" 200 8840
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:42 +0200] "GET /SurveyTool/ng/controllers/surveyController.js HTTP/1.1" 200 3795
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/js/angular/angular.min.js.map HTTP/1.1" 200 421037
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/js/angular/angular-sanitize.min.js.map HTTP/1.1" 404 1102
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/img/powered.png HTTP/1.1" 200 1523
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/img/content-bg-bottom.gif HTTP/1.1" 200 615
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/img/content-bg-top.gif HTTP/1.1" 200 616
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/img/back.png HTTP/1.1" 200 931
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/jsp/surveyEngine/bodyPages/bSurveyFinishPage.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionLongText.jsp HTTP/1.1" 200 2252
0:0:0:0:0:0:0:1 - - [08/Oct/2016:11:58:43 +0200] "GET /SurveyTool/jsp/surveyEngine/questions/fQuestionMultiple.jsp HTTP/1.1" 200 2343
